version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 149519528842 eni-0a383603ba13d18b8 128.9.63.139 10.0.1.200 0 0 1 1 32 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.211.120 10.0.1.200 51224 39630 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.179.39 10.0.1.200 45367 12202 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 89.248.163.115 10.0.1.200 44820 26148 6 1 40 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 147.185.133.171 10.0.1.200 55787 998 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 20.65.154.237 10.0.1.200 58723 623 6 1 40 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.87.105 10.0.1.200 39317 67 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.215.9 10.0.1.200 24605 10179 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 107.150.101.57 10.0.1.200 55069 12899 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.131.1 10.0.1.200 27075 548 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.210.226 10.0.1.200 53375 9826 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.176.30 10.0.1.200 43329 3307 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.159.49 10.0.1.200 51383 8444 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.159.49 10.0.1.200 51383 19056 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.159.49 10.0.1.200 51383 53281 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.176.254 10.0.1.200 28462 8600 6 1 44 1750962222 1750962248 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 20.127.210.151 10.0.1.208 56203 7001 6 1 40 1750962247 1750962270 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 167.94.146.30 10.0.1.208 3166 250 6 1 60 1750962247 1750962270 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 162.216.150.219 10.0.1.208 53798 9372 6 1 44 1750962247 1750962270 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 46.1.106.126 10.0.1.208 30908 80 6 1 40 1750962247 1750962270 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 91.191.209.214 10.0.1.208 48141 45181 6 1 40 1750962247 1750962270 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 198.235.24.6 10.0.1.208 54981 7547 6 1 44 1750962247 1750962270 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 162.216.150.221 10.0.1.200 55198 51459 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 205.210.31.16 10.0.1.200 51792 54041 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.176.30 10.0.1.200 43329 22223 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 89.248.163.115 10.0.1.200 44820 26360 6 1 40 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.8.232 10.0.1.200 29926 1187 17 1 69 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.92.167 10.0.1.200 49281 3333 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.87.105 10.0.1.200 39317 175 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.215.9 10.0.1.200 24605 7077 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.179.39 10.0.1.200 45367 23861 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.144.109 10.0.1.200 53920 50211 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.130.168 10.0.1.200 37329 2000 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.215.9 10.0.1.200 24605 8012 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.179.95 10.0.1.200 47650 49127 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.87.105 10.0.1.200 39317 5357 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 147.185.132.127 10.0.1.200 55481 9655 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.211.101 10.0.1.200 50664 45386 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.92.167 10.0.1.200 49281 441 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 167.179.109.179 10.0.1.200 50001 443 6 1 40 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.210.122 10.0.1.200 51724 7003 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.130.168 10.0.1.200 37329 12002 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.215.9 10.0.1.200 24605 5801 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.87.105 10.0.1.200 39317 999 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.87.105 10.0.1.200 39317 25565 6 1 44 1750962250 1750962278 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 147.185.132.223 10.0.1.200 51948 46297 6 1 44 1750962250 1750962278 REJECT OK
